"","imputed_IND","imputed_OCC"
"1501","60","558"
"1502","702","25"
"1503","560","337"
"1504","101","688"
"1505","441","348"
"1506","101","887"
"1507","101","688"
"1508","60","534"
"1509","242","709"
"1510","11","473"
"1511","561","337"
"1512","60","567"
"1513","761","407"
"1514","850","426"
"1515","932","36"
"1516","850","143"
"1517","410","804"
"1518","842","156"
"1519","471","875"
"1520","591","264"
"1521","831","449"
"1522","761","406"
"1523","11","473"
"1524","11","473"
"1525","11","479"
"1526","842","157"
"1527","641","19"
"1528","60","567"
"1529","842","157"
"1530","321","856"
"1531","762","436"
"1532","751","505"
"1533","600","264"
"1534","802","459"
"1535","802","459"
"1536","751","505"
"1537","60","567"
"1538","711","313"
"1539","711","315"
"1540","351","785"
"1541","641","435"
"1542","460","577"
"1543","342","633"
"1544","601","885"
"1545","901","33"
"1546","682","243"
"1547","682","274"
"1548","641","435"
"1549","10","479"
"1550","922","5"
"1551","641","337"
"1552","842","156"
"1553","770","313"
"1554","192","195"
"1555","881","197"
"1556","280","769"
"1557","60","645"
"1558","11","473"
"1559","11","479"
"1560","850","449"
"1561","502","883"
"1562","660","274"
"1563","60","389"
"1564","641","435"
"1565","641","436"
"1566","761","406"
"1567","230","496"
"1568","10","479"
"1569","60","853"
"1570","11","473"
"1571","11","479"
"1572","581","268"
"1573","601","274"
"1574","901","453"
"1575","60","567"
"1576","400","889"
"1577","161","796"
"1578","580","243"
"1579","390","777"
"1580","761","407"
"1581","842","156"
"1582","420","829"
"1583","682","274"
"1584","10","479"
"1585","802","889"
"1586","11","473"
"1587","842","156"
"1588","842","156"
"1589","362","313"
"1590","440","187"
"1591","831","174"
"1592","60","599"
"1593","60","337"
"1594","641","19"
"1595","641","444"
"1596","712","315"
"1597","751","505"
"1598","500","243"
"1599","500","365"
"1600","630","264"
"1601","770","175"
"1602","622","263"
"1603","322","57"
"1604","842","275"
"1605","591","264"
"1606","530","243"
"1607","530","243"
"1608","441","529"
"1609","762","317"
"1610","410","804"
"1611","410","805"
