"","ind_70_final","ind_80","occ_70_final","occ_80"
"2020",17,11,801,473
"92198",769,761,926,207
"77551",669,641,914,438
"47808",407,400,390,318
"885",17,11,801,473
"12210",69,60,381,365
"30016",227,352,602,636
"68479",628,601,762,877
"98689",828,812,371,313
"15335",119,250,441,633
"113839",858,850,903,448
"121634",258,292,56,27
"45493",379,211,610,796
"57731",528,551,690,757
"5946",68,60,410,563
"118760",888,882,11,53
"102555",838,831,926,207
"12395",69,60,520,584
"87383",718,712,270,254
"45355",377,200,522,585
"126922",937,901,325,335
"119858",897,891,53,69
"74793",669,641,903,453
"16076",137,261,694,777
"80224",689,681,245,243
"69557",639,612,284,269
"82521",707,700,301,383
"50803",418,411,374,364
"122826",917,932,762,877
"55314",477,470,753,883
"101976",838,831,394,389
"101643",838,831,916,444
"102382",838,831,385,348
"129",17,10,822,479
"96093",787,772,944,458
"83872",709,710,271,255
"109191",857,842,142,156
"104837",839,832,912,436
"75934",669,641,915,435
"10208",69,60,410,599
"71384",648,621,245,243
"98245",809,802,950,433
"36364",307,132,753,883
"98738",828,812,922,446
"51199",419,420,661,829
"42317",339,172,391,315
"95348",779,771,630,748
"88432",729,730,151,224
"11445",69,60,415,567
"29329",227,352,680,783
"121877",917,932,341,344
"121749",917,901,325,335
"82179",107,230,761,496
"100029",838,831,925,447
"114714",858,850,113,133
"125277",937,901,715,804
"92516",769,761,984,407
"106332",849,841,31,178
"43101",339,172,372,313
"50335",417,410,715,804
"63472",609,591,283,274
"56839",527,550,705,805
"33369",259,391,441,633
"107906",857,842,142,156
"104758",839,832,926,207
"80707",697,651,305,337
"25034",207,341,3,229
"23550",197,331,325,335
"112979",857,842,142,156
"75404",669,641,915,435
"60742",587,561,770,889
"71311",648,621,305,337
"32800",398,392,372,313
"49297",417,410,473,507
"95575",779,771,611,747
"86480",718,712,270,254
"88050",728,722,903,453
"14019",108,231,245,19
"117551",878,922,100,174
"50116",417,410,715,804
"100232",838,831,74,97
"68798",287,111,705,806
"23800",197,331,602,785
"14684",118,242,323,373
"72949",657,630,283,264
"94487",777,762,314,317
"59056",539,530,22,258
"36754",317,142,672,738
"65681",627,600,245,243
"79403",678,650,381,365
"23209",379,210,430,575
"74296",668,640,372,313
"7139",67,60,415,567
"108733",857,842,144,157
"3747",17,10,473,505
"78841",677,642,283,274
"99682",829,820,62,85
"69809",639,612,473,505
"124343",927,901,305,337
"25987",208,342,666,766
"37902",319,151,663,744
"78953",677,642,245,243
"126468",937,910,961,413
"112869",857,842,142,156
"50781",418,411,753,883
"115511",858,850,372,313
"7557",68,60,245,558
"62450",609,591,205,29
"33097",259,391,305,337
"20493",177,310,495,549
"28629",167,291,656,706
"15903",127,251,281,259
"125311",937,910,961,417
"107815",857,842,240,14
"82944",707,700,325,335
"73608",667,632,205,29
"60641",587,501,420,566
"21425",187,320,561,634
"33908",268,100,785,889
"60041",569,502,372,313
"17473",147,271,785,889
"31475",239,371,561,637
"83769",709,710,345,385
"112362",857,862,942,468
"125091",937,921,1,23
"118584",887,881,285,277
"120786",907,412,361,354
"2575",17,11,801,473
"12548",69,60,535,653
"17468",147,271,245,19
"93631",769,761,982,405
"36908",317,142,672,738
"77097",669,641,305,337
"27721",219,351,714,809
"94455",777,762,245,19
"29644",227,352,91,166
"88663",737,731,391,315
"49666",417,410,715,804
"113760",858,850,962,426
"89613",748,742,391,315
"26165",208,342,643,888
"75026",669,641,912,436
"55545",478,471,754,875
"26014",208,342,602,785
"69110",638,611,283,274
"118624",888,882,11,53
"7424",68,60,23,59
"48494",408,401,703,808
"24106",199,340,690,706
"23214",197,331,652,705
"125507",937,910,964,418
"55509",478,471,754,875
"34669",279,110,91,26
"49609",417,410,753,883
"50570",417,410,245,305
"83299",708,701,202,25
"70843",648,621,245,243
"109036",857,842,142,156
"17431",147,271,15,45
"56781",527,550,282,259
"111905",857,842,372,313
"117467",878,871,100,174
"78396",669,641,230,19
"60776",587,562,305,337
"21343",179,312,481,518
"50814",418,411,715,804
"47503",407,400,13,56
"84125",709,710,375,336
"60947",588,571,245,243
"990",17,10,801,473
"100623",838,831,75,95
"49171",417,410,372,313
"33608",268,100,690,777
"91045",758,752,484,538
"81857",707,700,305,337
"122128",838,831,611,747
"75874",669,641,911,443
"38570",319,151,663,744
"76564",669,641,230,19
"110929",857,842,391,315
"21518",187,320,602,785
"28706",219,351,391,315
"52545",448,441,552,503
"104063",838,831,391,315
"32292",227,352,14,57
