Index,IND.1971.1982,IND.1983.1991,IND.1992.2002,IND.2003.2008,IND.2009.2013,IND.2014.2019,IND.2020.
627,857,842,842,6180,6180,6180,6180
628,408,401,401,6190,6190,6190,6190
629,409,402,402,6190,6190,6190,6190
630,469,461,451,6270,6270,6270,6270
631,428,422,422,6270,6270,6270,6270
632,419,420,420,6280,6280,6280,6280
633,407,400,400,6280,6280,6280,6280
634,429,432,432,6280,6280,6280,6280
635,408,401,401,6280,6280,6280,6280
636,478,471,471,6290,6290,6290,6290
637,417,410,410,6290,6290,6290,6290
638,708,931,931,6290,6290,6290,6290
639,429,432,432,6290,6290,6290,6290
640,897,742,741,6290,6290,6290,6290
641,798,742,741,6290,6290,6290,6290
642,757,751,751,6290,6290,6290,6290
643,927,931,931,6290,6290,6290,6290
644,738,742,741,6290,6290,6290,6290
645,427,421,421,6290,6290,6290,6290
646,407,400,400,6290,6290,6290,6290
647,748,742,741,6290,6290,6290,6290
648,759,760,760,6290,6290,6290,6290
649,419,420,420,6290,6290,6290,6290
650,937,931,931,6290,6290,6290,6290
651,917,931,931,6290,6290,6290,6290
652,748,742,741,6370,6370,6370,6370
653,738,742,741,6370,6370,6370,6370
654,798,742,741,6370,6370,6370,6370
655,417,410,410,6370,6370,6370,6370
656,907,412,412,6370,6370,6370,6370
657,897,742,741,6370,6370,6370,6370
658,417,410,410,6380,6380,6380,6380
659,897,742,741,6380,6380,6380,6380
660,748,742,741,6380,6380,6380,6380
661,798,742,741,6380,6380,6380,6380
662,427,421,421,6380,6380,6380,6380
663,738,742,741,6380,6380,6380,6380
664,628,601,601,6390,6390,6390,6390
665,417,410,410,6390,6390,6390,6390
666,418,411,411,6390,6390,6390,6390
667,338,171,171,6470,6470,6470,6470
668,339,172,172,6480,6480,6480,6480
669,798,742,741,6480,6480,6480,6480
670,897,742,741,6480,6480,6480,6480
671,748,742,741,6480,6480,6480,6480
672,738,742,741,6480,6480,6480,6480
673,889,740,732,6490,6490,6490,6490
674,739,740,732,6490,6490,6490,6490
675,807,800,800,6570,6570,6570,6570
676,339,172,172,6590,6590,6590,6590
677,897,742,741,6590,6590,6590,6590
678,738,742,741,6590,6590,6590,6590
679,798,742,741,6590,6590,6590,6590
680,807,800,800,6590,6590,6590,6590
681,748,742,741,6590,6590,6590,6590
682,447,440,440,6670,6670,6670,6670
683,748,742,741,6670,6670,6670,6670
684,449,442,440,6670,6670,6670,6670
685,738,742,741,6675,6670,6670,6670
686,897,742,741,6675,6670,6670,6670
687,449,442,440,6675,6670,6670,6670
688,748,742,741,6675,6670,6670,6670
689,447,440,440,6675,6670,6670,6670
690,807,800,800,6675,6670,6670,6670
691,798,742,741,6675,6670,6670,6670
692,738,742,741,6670,6670,6670,6670
693,807,800,800,6670,6670,6670,6670
694,798,742,741,6670,6670,6670,6670
695,897,742,741,6670,6670,6670,6670
696,NA,NA,NA,NA,6672,6672,6672
697,449,442,442,6680,6680,6680,6680
698,448,441,441,6680,6680,6680,6680
